Colorado,2004,392822,506705,2865042,7,44,54,18.606,86.75,18.944
Connecticut,2004,299013,344048,2265842,6,29,39,19.419,84.328,17.225
Delaware,2004,67454,92253,534950,1,7,9,14.018,74.483,17.428
District of Columbia,2004,34350,65197,364207,0,4,12,5.225,57.81,32.289
Florida,2004,1404055,1719548,11530104,25,139,223,17.705,80.754,19.298
Georgia,2004,775954,990545,5412379,10,41,80,12.709,41.489,14.775
Hawaii,2004,100585,123191,796942,2,7,11,15.016,54.883,14.328
Idaho,2004,127552,172734,841609,2,11,10,17.009,62.898,11.644
Illinois,2004,1099965,1406715,7910382,14,82,145,13.158,58,18.333
Indiana,2004,549720,709599,3856681,8,53,58,14.933,74.629,15.156
Iowa,2004,240059,353384,1883725,4,19,23,17.037,53.543,12.116
Kansas,2004,233656,327533,1673455,4,22,30,16.512,68.225,17.907
Kentucky,2004,336219,453022,2645240,5,31,47,16.298,68.975,17.944
Louisiana,2004,398611,545993,2712415,5,26,43,11.935,48.435,15.694
Maine,2004,108414,137266,884793,2,12,14,18.945,90.703,15.336
Maryland,2004,492847,571917,3512136,6,33,65,12.091,57.804,18.399
Massachusetts,2004,511301,676924,4186567,10,68,81,19.059,100.473,19.238
Michigan,2004,907902,1111809,6354775,14,77,107,15.461,69.657,16.898
Minnesota,2004,437674,597384,3220581,8,44,46,17.543,73.176,14.235
Mississippi,2004,255659,348523,1747645,3,16,28,13.421,46.58,15.989
Missouri,2004,486907,653900,3636194,8,53,56,17.015,81.682,15.329
Montana,2004,77617,108976,599979,1,9,8,16.474,80.355,13.83
Nebraska,2004,148189,210903,1077324,2,15,14,16.237,72.2,13.128
Nevada,2004,201110,239773,1493077,3,16,18,16.092,64.839,12.163
New Hampshire,2004,115243,136890,849273,2,12,11,18.494,89.49,13.085
New Jersey,2004,745809,832522,5605723,12,52,82,16.351,62.084,14.547
New Mexico,2004,173285,224690,1167618,4,16,17,21.447,70.452,14.77
New York,2004,1584677,2050011,12371557,24,151,223,15.406,73.502,18.057
North Carolina,2004,715542,897851,5379787,9,51,82,13.053,56.321,15.179
North Dakota,2004,50426,82738,398634,1,4,4,16.961,46.801,11.223
Ohio,2004,980119,1257858,7263612,12,70,108,12.325,55.743,14.838
Oklahoma,2004,292067,418925,2171414,5,26,26,16.702,61.191,11.959
Oregon,2004,297935,396541,2331124,5,26,32,16.562,64.831,13.844
Pennsylvania,2004,1035623,1322980,8059411,16,101,139,15.182,76.417,17.259
Rhode Island,2004,88122,125374,691117,2,12,14,18.496,96.766,19.939
South Carolina,2004,358954,464027,2642693,6,29,46,16.216,63.466,17.328
South Dakota,2004,66529,94332,472172,1,5,5,16.232,50.186,11.284
Tennessee,2004,477163,642419,3799709,7,40,63,15.138,62.665,16.699
Texas,2004,2052845,2628020,13267576,49,175,206,24.081,66.691,15.501
Utah,2004,226903,358089,1304188,4,19,22,18.802,53.818,16.535
Vermont,2004,52660,70932,411991,1,7,7,20.145,103.594,16.892
Virginia,2004,622210,774068,4680347,9,55,83,13.947,70.787,17.703
Washington,2004,527538,692546,3955836,8,59,56,15.67,84.586,14.124
West Virginia,2004,136919,192780,1215454,3,20,21,21.568,102.62,17.011
Wisconsin,2004,472397,638835,3502106,9,44,52,19.085,69.063,14.733
Wyoming,2004,42257,61866,321211,1,4,4,18.018,67.608,12.655
Alabama,2005,384026,504331,2899055,5,31,48,14.212,61.882,16.429
Alaska,2005,66349,74227,382565,1,5,7,17.14,68.659,18.178
Arizona,2005,522702,660913,3704157,11,54,69,21.541,81.492,18.583
Arkansas,2005,233328,306500,1755313,4,21,25,16.494,67.844,14.051
California,2005,3293484,4085207,22046720,55,270,328,16.548,66.146,14.878
Colorado,2005,389561,513260,2938592,8,43,57,19.414,84.259,19.228
Connecticut,2005,299315,349035,2272942,6,31,43,19.706,89.45,19.009
Delaware,2005,69102,92344,541851,1,6,9,14.745,68.711,17.383
District of Columbia,2005,36509,71305,369695,0,5,19,6.09,65.365,50.747
Florida,2005,1405376,1765323,11819668,24,141,234,16.935,79.904,19.803
Georgia,2005,800536,1007170,5604242,12,51,90,14.431,50.263,15.98
Hawaii,2005,101214,124633,806534,1,6,11,14.105,52.03,13.387
Idaho,2005,130072,171005,869082,2,12,9,16.78,67.546,10.783
Illinois,2005,1100792,1422772,7966227,17,90,137,15.65,63.068,17.194
Indiana,2005,546441,702749,3913195,9,50,56,15.679,70.741,14.41
Iowa,2005,244036,348756,1887732,4,20,19,18.385,57.635,10.26
Kansas,2005,234307,324975,1685072,4,25,38,17.241,75.452,22.463
Kentucky,2005,339347,443407,2675718,5,30,38,16.079,66.539,14.273
Louisiana,2005,385359,523857,2663520,4,27,43,11.488,51.894,16.137
Maine,2005,107149,133984,891125,2,10,12,17.327,77.037,13.579
Maryland,2005,488407,582701,3545971,7,33,56,13.762,56.309,15.81
Massachusetts,2005,510948,693784,4187314,9,69,108,17.444,98.797,25.733
Michigan,2005,901407,1105696,6379828,14,73,94,15.084,66.401,14.791
Minnesota,2005,437254,593399,3249410,8,41,49,18.426,69.643,15.153
Mississippi,2005,257913,339363,1758458,3,15,27,11.772,42.973,15.594
Missouri,2005,490572,648988,3671275,8,45,53,16.904,68.774,14.537
Montana,2005,77917,107581,605606,1,9,10,16.674,87.225,15.789
Nebraska,2005,148761,210037,1083695,2,16,16,15.845,74.693,14.504
Nevada,2005,206623,246089,1551580,4,16,21,19.195,66.758,13.618
New Hampshire,2005,113655,136775,860562,2,13,12,18.771,96.824,14.186
