Nevada,2003,192336,228424,1437719,11,6,1,68.309,53.245,1.378,15,35,65,78.151,152.39,44.945,33,59,105,171.134,256.754,72.746
New Hampshire,2003,114731,134285,839848,7,5,1,74.487,99.83,1.536,12,32,50,103.086,241.357,60.094,21,53,85,181.781,397.806,101.124
New Jersey,2003,733853,816302,5595385,41,27,4,60.99,59.783,1.067,51,144,162,69.495,176.135,29.026,97,236,290,132.427,289.583,51.743
New Mexico,2003,175489,218107,1142829,11,6,1,87.619,73.159,1.223,21,46,66,119.052,211.02,57.905,35,73,96,198.83,335.15,83.86
New York,2003,1571709,2047533,12344264,86,77,9,62.796,76.523,1.218,133,439,613,84.62,214.597,49.672,235,678,970,149.474,330.986,78.614
North Carolina,2003,701982,889092,5275688,39,28,4,64.133,61.962,1.315,52,136,198,73.91,153.329,37.514,102,227,321,145.424,255.32,60.847
North Dakota,2003,52643,82943,392000,3,3,0,67.481,81.808,1.235,4,12,14,74.929,147.169,34.547,8,24,21,161.132,289.34,53.55
Ohio,2003,983181,1251526,7227097,53,45,6,62.47,74.386,1.408,81,208,289,82.12,166.232,39.946,141,348,468,143.339,278.144,64.721
Oklahoma,2003,296942,415680,2144532,15,13,2,59.07,62.401,1.335,23,65,72,77.585,157.034,33.586,48,107,126,161.445,258.602,58.793
Oregon,2003,297247,392447,2296726,17,11,2,69.537,64.371,1.657,29,83,128,97.435,210.715,55.796,54,134,205,181.875,341.65,89.382
Pennsylvania,2003,1034227,1315867,8027780,57,48,6,63.284,75.216,1.268,80,233,310,77.523,177.426,38.676,149,405,539,143.938,307.61,67.116
Rhode Island,2003,87330,127440,690482,5,4,1,73.838,84.438,1.566,10,32,41,109.65,254.231,59.219,16,52,66,186.754,410.511,95.516
South Carolina,2003,356468,460716,2594007,20,18,2,62.303,81.715,1.274,24,72,101,67.279,155.301,38.782,50,118,172,139.056,257.092,66.456
South Dakota,2003,68362,93146,464319,4,4,0,72.401,78.177,1.284,5,12,14,69.036,129.31,29.924,11,23,26,156.272,250.226,55.244
Tennessee,2003,475614,636601,3743398,23,18,3,53.597,51.811,1.434,29,82,134,61.429,128.083,35.764,61,139,211,127.694,217.695,56.239
Texas,2003,2038642,2577160,12992311,102,75,11,57.748,50.731,1.263,122,325,379,59.671,126.078,29.156,272,559,664,133.265,216.891,51.079
Utah,2003,229590,356134,1248593,9,10,1,41.57,42.279,1.859,11,34,32,47.351,96.118,25.912,24,67,56,104.829,187.778,44.467
Vermont,2003,53561,70579,408025,4,3,0,88.156,104.655,1.546,6,19,23,111.069,263.493,57.314,11,31,38,197.971,433.338,93.67
Virginia,2003,617003,757538,4614672,29,29,3,53.038,84.983,1.275,42,122,159,67.629,161.315,34.386,79,231,275,128.089,305.355,59.572
Washington,2003,527419,676016,3890656,29,21,3,64.707,68.182,1.442,42,117,165,79.838,172.785,42.504,83,200,310,157.269,295.408,79.679
West Virginia,2003,138269,195092,1205827,8,6,1,70.166,69.092,1.328,11,31,45,77.668,156.707,37.354,21,56,71,152.304,288.65,58.501
Wisconsin,2003,478926,633007,3459808,28,23,3,69.829,79.069,1.363,40,101,123,83.605,158.904,35.524,82,185,226,170.832,292.587,65.389
Wyoming,2003,43883,60860,315000,3,2,0,69.667,76.053,1.553,3,10,11,68.655,163.696,34.978,6,18,21,144.724,288.659,65.505
Alabama,2004,380150,506120,2871062,17,14,3,51.428,51.097,1.531,26,71,87,67.209,139.538,30.454,48,124,156,126.519,245.615,54.321
Alaska,2004,68162,73462,373429,4,2,0,71.5,71.247,2.517,7,16,30,97.076,213.588,79.92,11,26,46,166.355,347.443,122.536
Arizona,2004,510698,643907,3549522,28,17,4,68.894,55.449,1.926,42,85,124,82.033,131.478,35.071,82,152,232,160.111,235.479,65.256
Arkansas,2004,232095,310177,1729803,11,8,2,55.108,46.945,1.601,18,45,63,78.314,144.019,36.164,32,81,106,136.982,260.822,61.066
California,2004,3290671,3974135,21850567,164,126,21,57.477,57.879,1.635,247,643,1061,74.991,161.887,48.548,458,1102,1762,139.219,277.279,80.63
Colorado,2004,392822,506705,2865042,24,14,3,74.678,65.646,2.374,36,106,141,92.432,209.658,49.365,65,165,237,165.631,326.038,82.596
Connecticut,2004,299013,344048,2265842,19,12,2,79.91,76.5,2.093,27,82,112,88.786,237.435,49.532,55,130,212,185.46,377.648,93.432
Delaware,2004,67454,92253,534950,4,3,1,68.35,80.152,1.832,5,19,19,72.388,201.966,36.341,10,28,37,142.325,308.68,68.743
District of Columbia,2004,34350,65197,364207,2,2,0,61.086,73.069,2.111,2,12,19,68.732,187.51,52.5,5,22,41,143.749,338.518,113.864
Florida,2004,1404055,1719548,11530104,73,49,10,60.007,56.774,1.439,102,309,452,72.884,179.681,39.199,203,506,766,144.831,294.128,66.445
Georgia,2004,775954,990545,5412379,35,32,6,50.271,59.222,1.885,47,144,213,60.679,145.383,39.364,94,249,346,121.155,251.866,63.909
Hawaii,2004,100585,123191,796942,5,4,1,62.499,66.521,1.897,8,21,35,76.051,166.669,43.639,14,36,62,144.054,289.861,77.956
Idaho,2004,127552,172734,841609,6,5,1,55.463,61.413,2.4,8,22,28,62.41,128.033,32.856,16,44,48,128.142,254.394,56.471
Illinois,2004,1099965,1406715,7910382,58,47,8,59.355,65.868,1.772,70,224,287,63.461,159.448,36.338,147,381,512,133.622,271.08,64.735
Indiana,2004,549720,709599,3856681,29,21,4,61.418,59.019,2.009,36,102,125,65.375,143.653,32.385,73,196,224,132.126,275.981,58.063
Iowa,2004,240059,353384,1883725,11,12,2,48.695,61.438,1.787,14,41,50,59.806,116.811,26.39,26,80,93,108.46,226.411,49.328
Kansas,2004,233656,327533,1673455,12,11,2,57.027,67.764,2.235,16,45,57,67.931,138.761,33.846,33,84,110,141.515,255.373,65.913
Kentucky,2004,336219,453022,2645240,17,13,3,59.068,53.165,1.93,26,66,118,77.336,146.774,44.524,44,110,184,130.061,241.964,69.633
Louisiana,2004,398611,545993,2712415,19,17,3,52.294,61.209,1.659,23,80,99,57.55,147.423,36.523,45,134,161,113.924,245.353,59.252
Maine,2004,108414,137266,884793,6,5,1,74.833,89.657,2.076,13,34,50,122.692,245.915,56.045,20,50,72,183.738,367.513,81.546
Maryland,2004,492847,571917,3512136,26,19,3,61.242,65.253,1.716,34,79,120,68.759,138.594,34.192,71,162,231,144.929,283.629,65.879
Massachusetts,2004,511301,676924,4186567,26,24,5,63.198,79.689,2.271,49,168,190,94.944,248.787,45.276,85,256,332,166.698,377.919,79.325
Michigan,2004,907902,1111809,6354775,49,38,7,62.168,75.685,2.024,68,207,287,74.94,185.745,45.143,131,360,511,144.362,324.08,80.416
Minnesota,2004,437674,597384,3220581,23,20,4,60.53,66.855,2.247,34,100,163,78.223,167.382,50.562,66,168,261,151.591,281.315,80.936
Mississippi,2004,255659,348523,1747645,11,11,2,47.433,52.998,1.39,15,40,58,57.937,115.524,32.954,28,71,95,109.66,204.284,54.407
Missouri,2004,486907,653900,3636194,25,21,4,59.048,67.024,2.005,37,97,131,75.349,148.988,35.952,73,177,257,149.672,269.965,70.685
Montana,2004,77617,108976,599979,5,4,1,76.86,83.092,2.094,7,23,34,94.964,210.53,56.534,14,39,54,183.428,353.677,89.425
Nebraska,2004,148189,210903,1077324,7,7,1,49.989,61.187,1.856,9,31,32,58.813,147.327,30.151,17,49,64,115.68,230.84,59.646
Nevada,2004,201110,239773,1493077,11,5,2,63.256,45.819,1.961,14,39,65,69.756,160.589,43.769,30,66,106,147.089,275.722,70.998
New Hampshire,2004,115243,136890,849273,6,5,1,59.008,100.907,2.243,10,32,42,85.894,235.917,49.026,17,50,73,145.978,362.003,85.406
New Jersey,2004,745809,832522,5605723,35,27,5,52.565,62.298,1.597,48,133,186,64.651,160.273,33.165,94,237,339,125.481,284.354,60.513
New Mexico,2004,173285,224690,1167618,10,6,1,78.306,61.646,1.7,16,40,49,91.131,177.055,41.586,30,63,80,172.106,280.001,68.893
New York,2004,1584677,2050011,12371557,79,66,13,57.342,65.307,1.782,133,428,601,83.994,209.001,48.544,232,663,1022,146.465,323.397,82.578
North Carolina,2004,715542,897851,5379787,33,26,8,53.132,56.517,1.927,56,135,204,78.243,150.217,37.955,96,244,357,134.759,271.714,66.451
North Dakota,2004,50426,82738,398634,3,3,0,53.455,66.968,1.688,3,9,13,58.15,112.714,32.115,6,20,20,123.193,235.993,49.425
Ohio,2004,980119,1257858,7263612,49,39,7,56.716,65.055,1.835,73,201,296,74.304,159.989,40.702,135,343,483,137.605,273.071,66.46
Oklahoma,2004,292067,418925,2171414,15,12,2,57.587,53.46,1.809,21,57,71,71.047,136.224,32.913,43,97,118,146.559,231.14,54.492
Oregon,2004,297935,396541,2331124,18,11,3,74.217,67.461,2.683,28,83,142,93.038,209.227,61.115,55,139,219,184.7,350.17,93.934
Pennsylvania,2004,1035623,1322980,8059411,55,42,8,61.002,65.775,1.695,71,238,326,68.805,180.233,40.446,146,409,586,141.056,309.331,72.674
Rhode Island,2004,88122,125374,691117,5,4,1,76.276,76.913,2.132,10,33,38,108.239,264.648,55.065,17,53,63,195.088,420.945,91.024
