Kentucky,2003,336908,453011,2611452,63,221,849,188.23,487.01,325.144,82,254,992,243.006,560.782,379.716
Louisiana,2003,403315,543941,2685275,52,221,767,127.903,406.149,285.571,60,247,880,147.618,453.873,327.681
Maine,2003,109954,134241,875886,15,61,221,138.655,457.344,252.185,17,69,273,153.424,511.332,311.171
Maryland,2003,485901,556047,3492188,51,197,795,105.43,354.958,227.753,59,233,921,121.713,418.657,263.82
Massachusetts,2003,512838,676402,4189790,55,273,850,107.102,403.266,202.818,70,308,1025,137.176,455.082,244.559
Michigan,2003,902553,1108787,6328980,121,490,1710,133.842,441.521,270.232,140,539,2009,154.904,486.272,317.364
Minnesota,2003,442828,587599,3185052,58,275,720,131.678,467.915,226.031,71,295,907,161.374,501.549,284.617
Mississippi,2003,256982,349332,1720516,32,145,476,124.436,415.668,276.403,39,168,580,153.381,481.828,337.027
Missouri,2003,490972,642988,3583670,84,293,1068,171.385,454.963,297.916,100,327,1275,203.29,507.821,355.736
Montana,2003,79960,106615,588167,12,45,145,154.129,424.49,246.233,17,57,189,210.296,530.326,321.993
Nebraska,2003,150669,208757,1065283,21,90,234,136.424,432.083,220.077,24,101,293,161.352,481.728,274.905
Nevada,2003,192336,228424,1437719,21,83,390,110.135,361.575,271.082,26,97,441,134.915,423.571,307.004
New Hampshire,2003,114731,134285,839848,15,55,198,127.329,410.428,236.199,18,65,242,155.806,482.125,287.754
New Jersey,2003,733853,816302,5595385,86,310,1226,117.025,380.154,219.029,103,346,1340,140.126,424.189,239.51
New Mexico,2003,175489,218107,1142829,23,82,258,130.104,377.773,225.807,29,97,315,167.889,442.8,275.789
New York,2003,1571709,2047533,12344264,174,817,2976,110.404,399.055,241.084,196,881,3379,124.926,430.314,273.728
North Carolina,2003,701982,889092,5275688,100,395,1368,141.848,444.646,259.266,121,426,1800,172.03,479.412,341.254
North Dakota,2003,52643,82943,392000,9,36,100,168.212,434.709,256.189,11,41,124,206.885,496.27,316.839
Ohio,2003,983181,1251526,7227097,139,555,2073,141.312,443.208,286.905,166,627,2486,168.552,500.881,343.989
Oklahoma,2003,296942,415680,2144532,46,195,638,156.468,468.82,297.536,55,223,745,185.022,536.814,347.447
Oregon,2003,297247,392447,2296726,35,154,541,116.298,393.018,235.533,44,179,640,147.403,455.66,278.687
Pennsylvania,2003,1034227,1315867,8027780,142,586,2086,137.318,445.272,259.866,164,656,2559,158.489,498.761,318.722
Rhode Island,2003,87330,127440,690482,11,51,173,130.895,404.036,251.229,14,58,203,155.801,454.453,293.567
South Carolina,2003,356468,460716,2594007,43,197,678,120.916,428.538,261.537,54,224,802,151.163,485.853,309.004
South Dakota,2003,68362,93146,464319,12,46,131,172.673,495.562,281.772,15,52,154,212.527,560.208,332.567
Tennessee,2003,475614,636601,3743398,64,245,1052,133.623,384.945,280.98,77,288,1236,161.416,452.71,330.067
Texas,2003,2038642,2577160,12992311,228,977,3401,111.664,378.962,261.78,264,1081,3967,129.632,419.642,305.341
Utah,2003,229590,356134,1248593,16,91,217,68.087,254.67,174.127,20,92,257,86.903,259.568,205.568
Vermont,2003,53561,70579,408025,8,33,94,142.305,463.318,231.275,9,37,114,174.278,524.394,278.854
Virginia,2003,617003,757538,4614672,74,326,1120,119.879,429.898,242.799,83,362,1344,133.735,478.466,291.278
Washington,2003,527419,676016,3890656,56,273,881,106.933,403.654,226.542,69,297,1029,131.668,439.667,264.581
West Virginia,2003,138269,195092,1205827,23,98,373,166.923,500.9,309.051,27,111,470,196.61,569.598,389.54
Wisconsin,2003,478926,633007,3459808,73,290,817,152.697,457.844,236.006,86,316,991,178.645,499.204,286.395
Wyoming,2003,43883,60860,315000,6,26,76,136.129,424.134,239.727,8,32,98,173.715,519.051,311.386
Alabama,2004,380150,506120,2871062,47,197,773,124.25,388.654,269.372,61,234,934,159.465,462.976,325.489
Alaska,2004,68162,73462,373429,7,30,89,107.485,412.619,238.455,10,35,108,151.392,475.562,288.9
Arizona,2004,510698,643907,3549522,57,227,786,110.728,352.05,221.432,70,264,923,136.778,409.396,259.99
Arkansas,2004,232095,310177,1729803,30,134,471,130.799,433.606,272.47,38,156,599,162.023,503.489,346.079
California,2004,3290671,3974135,21850567,295,1206,3822,89.709,303.49,174.903,358,1353,4459,108.731,340.423,204.054
Colorado,2004,392822,506705,2865042,48,207,596,121.459,408.676,207.867,63,238,717,159.287,470.22,250.279
Connecticut,2004,299013,344048,2265842,39,144,488,129.286,417.232,215.513,46,157,569,155.153,455.692,251.271
Delaware,2004,67454,92253,534950,8,36,134,121.924,391.354,250.135,10,41,156,147.714,446.933,292.493
District of Columbia,2004,34350,65197,364207,2,23,93,71.417,347.577,254.899,3,26,103,93.329,392.593,282.272
Florida,2004,1404055,1719548,11530104,142,620,2798,101.047,360.367,242.635,168,721,3316,119.509,419.212,287.626
Georgia,2004,775954,990545,5412379,84,349,1340,108.45,352.022,247.503,100,398,1635,128.33,402.19,302.034
Hawaii,2004,100585,123191,796942,8,44,147,77.192,357.082,184.144,10,49,170,102.966,394.285,213.193
Idaho,2004,127552,172734,841609,14,70,185,106.26,402.823,219.382,17,77,219,131.444,448.147,260.623
Illinois,2004,1099965,1406715,7910382,117,608,2092,106.022,431.863,264.405,141,670,2454,128.081,476.212,310.192
Indiana,2004,549720,709599,3856681,67,299,1064,122.758,421.759,275.897,78,342,1254,141.892,482.354,325.131
Iowa,2004,240059,353384,1883725,29,150,458,121.681,425.066,243.358,35,181,560,146.149,511.43,297.108
Kansas,2004,233656,327533,1673455,32,140,446,135.292,428.165,266.555,39,160,539,166.051,487.933,322.289
Kentucky,2004,336219,453022,2645240,58,207,816,171.692,457.779,308.502,71,241,1005,210.38,532.258,379.762
Louisiana,2004,398611,545993,2712415,40,213,767,99.469,389.798,282.803,49,239,895,122.077,437.67,329.901
Maine,2004,108414,137266,884793,16,63,220,152.147,462.405,249.143,19,71,263,179.784,519.489,297.2
Maryland,2004,492847,571917,3512136,52,208,773,105.469,362.999,219.992,59,229,914,120.622,400.281,260.268
Massachusetts,2004,511301,676924,4186567,54,271,917,106.224,400.558,218.925,71,316,1106,139.535,466.155,264.09
Michigan,2004,907902,1111809,6354775,111,503,1742,122.424,452.422,274.047,127,555,2052,139.493,499.302,322.954
Minnesota,2004,437674,597384,3220581,56,277,731,128.476,463.379,227.114,69,304,896,158.214,508.943,278.085
Mississippi,2004,255659,348523,1747645,28,133,464,111.426,382.6,265.477,35,161,566,138.222,463.276,324.087
Missouri,2004,486907,653900,3636194,77,293,1058,158.138,448.38,291.068,94,337,1290,192.146,516.044,354.702
Montana,2004,77617,108976,599979,11,46,156,146.78,417.827,260.557,15,56,201,195.461,514.745,334.907
Nebraska,2004,148189,210903,1077324,19,84,249,127.461,399.687,230.979,23,96,296,156.024,455.191,274.478
Nevada,2004,201110,239773,1493077,21,93,399,106.378,387.764,267.471,26,105,465,128.159,436.766,311.196
New Hampshire,2004,115243,136890,849273,13,56,185,110.022,408.651,217.826,16,65,226,134.542,472.864,266.194
New Jersey,2004,745809,832522,5605723,84,313,1191,111.982,375.799,212.499,99,348,1383,132.972,418.58,246.719
New Mexico,2004,173285,224690,1167618,20,89,261,116.991,396.569,223.289,26,102,309,151.442,453.59,264.892
New York,2004,1584677,2050011,12371557,170,810,2946,107.096,395.321,238.09,202,882,3342,127.407,430.356,270.107
North Carolina,2004,715542,897851,5379787,99,396,1387,138.678,441.358,257.788,122,437,1719,171.073,486.97,319.501
North Dakota,2004,50426,82738,398634,7,35,97,137.78,425.178,242.563,9,41,122,175.654,498.668,306.628
Ohio,2004,980119,1257858,7263612,126,543,2006,128.185,431.511,276.168,157,625,2391,160.062,496.781,329.131
Oklahoma,2004,292067,418925,2171414,43,185,606,148.694,441.475,279.262,52,212,709,177.214,506.259,326.37
Oregon,2004,297935,396541,2331124,33,164,564,112.171,414.146,242.107,43,184,659,144.595,465.158,282.582
