State,Year,Population.12-17
Wisconsin,2010,455693
Wyoming,2010,42751
Alabama,2011,385060
Alaska,2011,60614
Arizona,2011,537268
Arkansas,2011,235330
California,2011,3156459
Colorado,2011,397449
Connecticut,2011,290956
Delaware,2011,69055
District of Columbia,2011,31373
Florida,2011,1381693
Georgia,2011,824731
Hawaii,2011,97800
Idaho,2011,139014
Illinois,2011,1057464
Indiana,2011,540292
Iowa,2011,241228
Kansas,2011,236049
Kentucky,2011,339685
Louisiana,2011,367339
Maine,2011,96430
Maryland,2011,459636
Massachusetts,2011,494412
Michigan,2011,814217
Minnesota,2011,424745
Mississippi,2011,248417
Missouri,2011,475157
Montana,2011,74042
Nebraska,2011,147027
Nevada,2011,219786
New Hampshire,2011,102838
New Jersey,2011,710612
New Mexico,2011,169342
New York,2011,1474700
North Carolina,2011,757390
North Dakota,2011,48873
Ohio,2011,929629
Oklahoma,2011,304074
Oregon,2011,291972
Pennsylvania,2011,964004
Rhode Island,2011,77839
South Carolina,2011,357301
South Dakota,2011,64463
Tennessee,2011,504106
Texas,2011,2265694
Utah,2011,268417
Vermont,2011,45855
Virginia,2011,618558
Washington,2011,528978
West Virginia,2011,131265
Wisconsin,2011,451821
Wyoming,2011,42890
Alabama,2012,383469
Alaska,2012,60264
Arizona,2012,540502
Arkansas,2012,236508
California,2012,3117442
Colorado,2012,402137
Connecticut,2012,288704
Delaware,2012,68333
District of Columbia,2012,30856
Florida,2012,1385416
Georgia,2012,831609
Hawaii,2012,97086
Idaho,2012,140843
Illinois,2012,1045769
Indiana,2012,541016
Iowa,2012,241811
Kansas,2012,237185
Kentucky,2012,339960
Louisiana,2012,367827
Maine,2012,94988
Maryland,2012,457152
Massachusetts,2012,491273
Michigan,2012,805764
Minnesota,2012,424639
Mississippi,2012,247257
Missouri,2012,472889
Montana,2012,73896
Nebraska,2012,148030
Nevada,2012,221167
New Hampshire,2012,101207
New Jersey,2012,706126
New Mexico,2012,168112
New York,2012,1456617
North Carolina,2012,764610
North Dakota,2012,49581
Ohio,2012,925827
Oklahoma,2012,306820
Oregon,2012,292050
Pennsylvania,2012,951880
Rhode Island,2012,76543
South Carolina,2012,359524
South Dakota,2012,64901
Tennessee,2012,505317
Texas,2012,2295567
Utah,2012,275660
Vermont,2012,45030
Virginia,2012,619956
Washington,2012,529852
West Virginia,2012,130671
Wisconsin,2012,449677
Wyoming,2012,43516
Alabama,2013,382134
Alaska,2013,59900
Arizona,2013,543484
Arkansas,2013,236666
California,2013,3080548
Colorado,2013,408429
Connecticut,2013,286281
Delaware,2013,67991
District of Columbia,2013,30551
Florida,2013,1390131
Georgia,2013,838199
