Oregon,2003,297247,392447,2296726,19,72,155,65.41,184.138,67.558,56,262,1313,187.788,667.726,571.727
Pennsylvania,2003,1034227,1315867,8027780,58,251,475,56.337,190.684,59.205,184,856,4379,177.508,650.398,545.43
Rhode Island,2003,87330,127440,690482,6,28,53,68.887,218.302,76.816,18,94,437,202.576,736.924,632.518
South Carolina,2003,356468,460716,2594007,19,81,183,51.969,175.124,70.508,51,273,1168,144.041,591.945,450.438
South Dakota,2003,68362,93146,464319,7,23,35,96.749,242.474,74.805,16,67,276,233.748,722.977,593.387
Tennessee,2003,475614,636601,3743398,22,86,199,46.901,135.719,53.096,67,322,1438,140.84,505.983,384.253
Texas,2003,2038642,2577160,12992311,113,405,774,55.423,157.064,59.61,340,1430,6465,166.871,554.831,497.565
Utah,2003,229590,356134,1248593,11,41,64,46.687,115.67,51.48,26,124,387,112.817,348.467,310.155
Vermont,2003,53561,70579,408025,3,14,25,64.629,201.045,60.237,11,50,248,199.495,711.052,608.065
Virginia,2003,617003,757538,4614672,33,136,263,53.556,179.704,57.001,97,487,2425,157.544,642.833,525.515
Washington,2003,527419,676016,3890656,34,128,263,65.355,189.428,67.597,95,418,2368,180.663,618.951,608.745
West Virginia,2003,138269,195092,1205827,9,35,68,65.779,176.853,56.703,22,106,437,157.804,545.344,362.068
Wisconsin,2003,478926,633007,3459808,42,156,321,87.158,246.133,92.696,117,478,2243,244.43,754.55,648.199
Wyoming,2003,43883,60860,315000,3,13,23,78.575,210.405,73.712,8,41,167,183.171,670.464,530.497
Alabama,2004,380150,506120,2871062,21,64,161,54.66,126.724,56.095,61,266,1254,159.748,526.256,436.939
Alaska,2004,68162,73462,373429,4,12,23,59.821,160.979,61.099,10,42,208,146.72,574.423,557.079
Arizona,2004,510698,643907,3549522,36,114,273,70.835,177.724,76.944,92,395,2120,180.065,612.674,597.332
Arkansas,2004,232095,310177,1729803,12,48,90,51.152,156.275,52.273,38,165,697,164.473,532.127,403.149
California,2004,3290671,3974135,21850567,200,665,1395,60.806,167.423,63.854,533,2187,11879,162.028,550.198,543.667
Colorado,2004,392822,506705,2865042,29,105,214,74.487,207.018,74.576,81,351,1805,205.158,692.976,629.929
Connecticut,2004,299013,344048,2265842,19,76,152,63.069,220.397,67.067,63,246,1474,209.427,714.419,650.695
Delaware,2004,67454,92253,534950,3,17,28,50.043,185.58,52.84,11,58,276,164.13,632.011,515.899
District of Columbia,2004,34350,65197,364207,1,12,32,39.544,186.946,87.97,4,45,222,127.021,689.295,608.994
Florida,2004,1404055,1719548,11530104,81,291,802,57.603,169.437,69.583,239,1008,6382,170.062,585.913,553.466
Georgia,2004,775954,990545,5412379,33,118,278,43.069,118.655,51.321,113,517,2537,145.233,521.632,468.776
Hawaii,2004,100585,123191,796942,5,22,43,53.72,175.057,53.803,14,71,396,137.357,577.742,496.298
Idaho,2004,127552,172734,841609,9,28,52,70.543,163.435,61.881,20,93,417,158.793,538.017,495.32
Illinois,2004,1099965,1406715,7910382,64,281,530,57.95,199.546,66.997,190,917,4537,172.415,652.046,573.549
Indiana,2004,549720,709599,3856681,33,130,241,59.268,182.568,62.555,94,435,2025,171.187,613.369,525.01
Iowa,2004,240059,353384,1883725,18,82,117,74.78,233.034,62.273,44,245,1060,182.66,692.791,562.753
Kansas,2004,233656,327533,1673455,18,67,113,76.12,205.527,67.643,45,214,898,194.527,653.495,536.751
Kentucky,2004,336219,453022,2645240,20,64,149,60.96,141.565,56.174,57,252,1155,170.141,555.995,436.563
Louisiana,2004,398611,545993,2712415,20,78,180,50.925,142.055,66.399,70,321,1318,175.912,588.008,486.077
Maine,2004,108414,137266,884793,7,23,53,67.226,165.684,59.398,21,88,473,191.361,640.062,535.076
Maryland,2004,492847,571917,3512136,25,87,202,50.499,151.306,57.379,77,360,1991,157.054,628.77,566.88
Massachusetts,2004,511301,676924,4186567,27,131,269,53.238,194.175,64.261,98,478,2625,191.13,706,627.074
Michigan,2004,907902,1111809,6354775,51,210,399,55.67,188.878,62.844,155,737,3645,170.886,663.014,573.559
Minnesota,2004,437674,597384,3220581,27,117,230,61.026,195.951,71.372,84,416,2093,191.804,697.072,649.88
Mississippi,2004,255659,348523,1747645,11,47,97,44.827,134.969,55.685,39,171,679,154.336,490.363,388.664
Missouri,2004,486907,653900,3636194,34,137,256,70.381,209.482,70.287,97,429,1807,199.586,656.337,497.062
Montana,2004,77617,108976,599979,7,28,43,90.116,256.035,72.052,16,77,357,212.242,704.309,594.358
Nebraska,2004,148189,210903,1077324,11,50,75,74.737,236.273,69.911,28,150,621,186.29,712.998,576.103
Nevada,2004,201110,239773,1493077,13,47,102,62.274,196.778,68.648,33,137,761,165.562,573.268,509.487
New Hampshire,2004,115243,136890,849273,7,29,50,60.425,211.856,58.386,21,98,531,180.916,718.355,625.445
New Jersey,2004,745809,832522,5605723,42,129,297,56.837,155.12,52.9,140,520,3255,187.698,624.097,580.608
New Mexico,2004,173285,224690,1167618,12,42,81,66.533,186.735,69.279,31,128,595,180.885,571.488,509.422
New York,2004,1584677,2050011,12371557,85,348,671,53.77,169.526,54.2,297,1298,7037,187.494,632.971,568.822
North Carolina,2004,715542,897851,5379787,38,132,316,52.926,146.615,58.665,107,498,2447,149.213,554.78,454.892
North Dakota,2004,50426,82738,398634,4,20,28,82.281,241.854,70.261,10,62,244,200.367,745.569,611.49
Ohio,2004,980119,1257858,7263612,53,227,410,54.052,180.513,56.403,160,801,3885,163.662,637.076,534.861
Oklahoma,2004,292067,418925,2171414,18,78,131,62.46,185.528,60.386,51,233,938,174.139,555.151,431.921
Oregon,2004,297935,396541,2331124,19,71,144,63.066,179.445,61.891,55,254,1404,183.217,641.294,602.206
Pennsylvania,2004,1035623,1322980,8059411,58,252,478,56.476,190.262,59.258,173,858,4477,166.85,648.453,555.515
Rhode Island,2004,88122,125374,691117,5,25,45,58.854,199.872,64.421,17,92,437,197.872,730.46,632.546
South Carolina,2004,358954,464027,2642693,17,63,190,46.099,136.047,71.978,49,245,1196,136.722,527.928,452.429
South Dakota,2004,66529,94332,472172,5,21,33,81.467,225.915,68.935,15,68,295,220.283,723.589,624.518
Tennessee,2004,477163,642419,3799709,23,95,210,48.131,148.268,55.36,68,354,1587,143.426,551.061,417.646
Texas,2004,2052845,2628020,13267576,108,428,851,52.479,162.777,64.124,347,1515,6864,169.129,576.487,517.347
Utah,2004,226903,358089,1304188,12,51,75,52.263,141.518,57.142,27,125,415,120.789,349.123,318.218
